,season,round,Race_url,raceName,Race_date,Race_time,circuitId,Circuit_url,circuitName,Location.lat,Location.long,Location.locality,Location.country,FP_date,FP_time,SP_date,SP_time,TP_date,TP_time,Quali_date,Quali_time,Sprint_date,Sprint_time
57,2021,20,http://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix,Qatar Grand Prix,2021-11-21,14:00:00Z,losail,http://en.wikipedia.org/wiki/Losail_International_Circuit,Losail International Circuit,25.49,51.4542,Al Daayen,Qatar,2021-11-19,,2021-11-19,,2021-11-20,,2021-11-20,,,
58,2021,21,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix,Saudi Arabian Grand Prix,2021-12-05,17:30:00Z,jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2021-12-03,,2021-12-03,,2021-12-04,,2021-12-04,,,
59,2021,22,http://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,2021-12-12,13:00:00Z,yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,UAE,2021-12-10,,2021-12-10,,2021-12-11,,2021-12-11,,,
60,2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,Bahrain Grand Prix,2022-03-20,15:00:00Z,bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2022-03-18,12:00:00Z,2022-03-18,15:00:00Z,2022-03-19,12:00:00Z,2022-03-19,15:00:00Z,,
61,2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,Saudi Arabian Grand Prix,2022-03-27,17:00:00Z,jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2022-03-25,14:00:00Z,2022-03-25,17:00:00Z,2022-03-26,14:00:00Z,2022-03-26,17:00:00Z,,
62,2022,3,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,Australian Grand Prix,2022-04-10,05:00:00Z,albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2022-04-08,03:00:00Z,2022-04-08,06:00:00Z,2022-04-09,03:00:00Z,2022-04-09,06:00:00Z,,
63,2022,4,http://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix,Emilia Romagna Grand Prix,2022-04-24,13:00:00Z,imola,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,2022-04-22,11:30:00Z,2022-04-23,10:30:00Z,,,2022-04-22,15:00:00Z,2022-04-23,14:30:00Z
64,2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,Miami Grand Prix,2022-05-08,19:30:00Z,miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,25.9581,-80.2389,Miami,USA,2022-05-06,18:30:00Z,2022-05-06,21:30:00Z,2022-05-07,17:00:00Z,2022-05-07,20:00:00Z,,
65,2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,Spanish Grand Prix,2022-05-22,13:00:00Z,catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,2022-05-20,12:00:00Z,2022-05-20,15:00:00Z,2022-05-21,11:00:00Z,2022-05-21,14:00:00Z,,
66,2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,Monaco Grand Prix,2022-05-29,13:00:00Z,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,2022-05-27,12:00:00Z,2022-05-27,15:00:00Z,2022-05-28,11:00:00Z,2022-05-28,14:00:00Z,,
67,2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,2022-06-12,11:00:00Z,baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan,2022-06-10,11:00:00Z,2022-06-10,14:00:00Z,2022-06-11,11:00:00Z,2022-06-11,14:00:00Z,,
68,2022,9,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,Canadian Grand Prix,2022-06-19,18:00:00Z,villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,2022-06-17,18:00:00Z,2022-06-17,21:00:00Z,2022-06-18,17:00:00Z,2022-06-18,20:00:00Z,,
69,2022,10,http://en.wikipedia.org/wiki/2022_British_Grand_Prix,British Grand Prix,2022-07-03,14:00:00Z,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,2022-07-01,12:00:00Z,2022-07-01,15:00:00Z,2022-07-02,11:00:00Z,2022-07-02,14:00:00Z,,
70,2022,11,http://en.wikipedia.org/wiki/2022_Austrian_Grand_Prix,Austrian Grand Prix,2022-07-10,13:00:00Z,red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,2022-07-08,11:30:00Z,2022-07-09,10:30:00Z,,,2022-07-08,15:00:00Z,2022-07-09,14:30:00Z
71,2022,12,http://en.wikipedia.org/wiki/2022_French_Grand_Prix,French Grand Prix,2022-07-24,13:00:00Z,ricard,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,Circuit Paul Ricard,43.2506,5.79167,Le Castellet,France,2022-07-22,12:00:00Z,2022-07-22,15:00:00Z,2022-07-23,11:00:00Z,2022-07-23,14:00:00Z,,
72,2022,13,http://en.wikipedia.org/wiki/2022_Hungarian_Grand_Prix,Hungarian Grand Prix,2022-07-31,13:00:00Z,hungaroring,http://en.wikipedia.org/wiki/Hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,2022-07-29,12:00:00Z,2022-07-29,15:00:00Z,2022-07-30,11:00:00Z,2022-07-30,14:00:00Z,,
73,2022,14,http://en.wikipedia.org/wiki/2022_Belgian_Grand_Prix,Belgian Grand Prix,2022-08-28,13:00:00Z,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,2022-08-26,12:00:00Z,2022-08-26,15:00:00Z,2022-08-27,11:00:00Z,2022-08-27,14:00:00Z,,
74,2022,15,http://en.wikipedia.org/wiki/2022_Dutch_Grand_Prix,Dutch Grand Prix,2022-09-04,13:00:00Z,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,2022-09-02,10:30:00Z,2022-09-02,14:00:00Z,2022-09-03,10:00:00Z,2022-09-03,13:00:00Z,,
75,2022,16,http://en.wikipedia.org/wiki/2022_Italian_Grand_Prix,Italian Grand Prix,2022-09-11,13:00:00Z,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,2022-09-09,12:00:00Z,2022-09-09,15:00:00Z,2022-09-10,11:00:00Z,2022-09-10,14:00:00Z,,
76,2022,17,http://en.wikipedia.org/wiki/2022_Singapore_Grand_Prix,Singapore Grand Prix,2022-10-02,12:00:00Z,marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore,2022-09-30,10:00:00Z,2022-09-30,13:00:00Z,2022-10-01,10:00:00Z,2022-10-01,13:00:00Z,,
77,2022,18,http://en.wikipedia.org/wiki/2022_Japanese_Grand_Prix,Japanese Grand Prix,2022-10-09,05:00:00Z,suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,2022-10-07,03:00:00Z,2022-10-07,06:00:00Z,2022-10-08,03:00:00Z,2022-10-08,06:00:00Z,,
78,2022,19,http://en.wikipedia.org/wiki/2022_United_States_Grand_Prix,United States Grand Prix,2022-10-23,19:00:00Z,americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,30.1328,-97.6411,Austin,USA,2022-10-21,19:00:00Z,2022-10-21,22:00:00Z,2022-10-22,19:00:00Z,2022-10-22,22:00:00Z,,
79,2022,20,http://en.wikipedia.org/wiki/2022_Mexican_Grand_Prix,Mexico City Grand Prix,2022-10-30,20:00:00Z,rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico City,Mexico,2022-10-28,18:00:00Z,2022-10-28,21:00:00Z,2022-10-29,17:00:00Z,2022-10-29,20:00:00Z,,
80,2022,21,http://en.wikipedia.org/wiki/2022_Brazilian_Grand_Prix,Brazilian Grand Prix,2022-11-13,18:00:00Z,interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,2022-11-11,15:30:00Z,2022-11-12,15:30:00Z,,,2022-11-11,19:00:00Z,2022-11-12,19:30:00Z
81,2022,22,http://en.wikipedia.org/wiki/2022_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,2022-11-20,13:00:00Z,yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,UAE,2022-11-18,10:00:00Z,2022-11-18,13:00:00Z,2022-11-19,11:00:00Z,2022-11-19,14:00:00Z,,
82,2023,1,https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix,Bahrain Grand Prix,2023-03-05,15:00:00Z,bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2023-03-03,11:30:00Z,2023-03-03,15:00:00Z,2023-03-04,11:30:00Z,2023-03-04,15:00:00Z,,
83,2023,2,https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix,Saudi Arabian Grand Prix,2023-03-19,17:00:00Z,jeddah,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2023-03-17,13:30:00Z,2023-03-17,17:00:00Z,2023-03-18,13:30:00Z,2023-03-18,17:00:00Z,,
84,2023,3,https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix,Australian Grand Prix,2023-04-02,05:00:00Z,albert_park,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2023-03-31,01:30:00Z,2023-03-31,05:00:00Z,2023-04-01,01:30:00Z,2023-04-01,05:00:00Z,,
85,2023,4,https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,2023-04-30,11:00:00Z,baku,http://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan,2023-04-28,09:30:00Z,2023-04-29,09:30:00Z,,,2023-04-28,13:00:00Z,2023-04-29,13:30:00Z
86,2023,5,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix,Miami Grand Prix,2023-05-07,19:30:00Z,miami,http://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,25.9581,-80.2389,Miami,USA,2023-05-05,18:00:00Z,2023-05-05,21:30:00Z,2023-05-06,16:30:00Z,2023-05-06,20:00:00Z,,
87,2023,6,https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix,Monaco Grand Prix,2023-05-28,13:00:00Z,monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,2023-05-26,11:30:00Z,2023-05-26,15:00:00Z,2023-05-27,10:30:00Z,2023-05-27,14:00:00Z,,
88,2023,7,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix,Spanish Grand Prix,2023-06-04,13:00:00Z,catalunya,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,2023-06-02,11:30:00Z,2023-06-02,15:00:00Z,2023-06-03,10:30:00Z,2023-06-03,14:00:00Z,,
89,2023,8,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix,Canadian Grand Prix,2023-06-18,18:00:00Z,villeneuve,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,2023-06-16,17:30:00Z,2023-06-16,21:00:00Z,2023-06-17,16:30:00Z,2023-06-17,20:00:00Z,,
90,2023,9,https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix,Austrian Grand Prix,2023-07-02,13:00:00Z,red_bull_ring,http://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,2023-06-30,11:30:00Z,2023-07-01,10:30:00Z,,,2023-06-30,15:00:00Z,2023-07-01,14:30:00Z
91,2023,10,https://en.wikipedia.org/wiki/2023_British_Grand_Prix,British Grand Prix,2023-07-09,14:00:00Z,silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,2023-07-07,11:30:00Z,2023-07-07,15:00:00Z,2023-07-08,10:30:00Z,2023-07-08,14:00:00Z,,
92,2023,11,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix,Hungarian Grand Prix,2023-07-23,13:00:00Z,hungaroring,http://en.wikipedia.org/wiki/Hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,2023-07-21,11:30:00Z,2023-07-21,15:00:00Z,2023-07-22,10:30:00Z,2023-07-22,14:00:00Z,,
93,2023,12,https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix,Belgian Grand Prix,2023-07-30,13:00:00Z,spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,2023-07-28,11:30:00Z,2023-07-29,10:30:00Z,,,2023-07-28,15:00:00Z,2023-07-29,14:30:00Z
94,2023,13,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix,Dutch Grand Prix,2023-08-27,13:00:00Z,zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,2023-08-25,10:30:00Z,2023-08-25,14:00:00Z,2023-08-26,09:30:00Z,2023-08-26,13:00:00Z,,
95,2023,14,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix,Italian Grand Prix,2023-09-03,13:00:00Z,monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,2023-09-01,11:30:00Z,2023-09-01,15:00:00Z,2023-09-02,10:30:00Z,2023-09-02,14:00:00Z,,
96,2023,15,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix,Singapore Grand Prix,2023-09-17,12:00:00Z,marina_bay,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore,2023-09-15,09:30:00Z,2023-09-15,13:00:00Z,2023-09-16,09:30:00Z,2023-09-16,13:00:00Z,,
97,2023,16,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix,Japanese Grand Prix,2023-09-24,05:00:00Z,suzuka,http://en.wikipedia.org/wiki/Suzuka_Circuit,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,2023-09-22,02:30:00Z,2023-09-22,06:00:00Z,2023-09-23,02:30:00Z,2023-09-23,06:00:00Z,,
98,2023,17,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix,Qatar Grand Prix,2023-10-08,14:00:00Z,losail,http://en.wikipedia.org/wiki/Losail_International_Circuit,Losail International Circuit,25.49,51.4542,Al Daayen,Qatar,2023-10-06,10:30:00Z,2023-10-07,10:30:00Z,,,2023-10-06,14:00:00Z,2023-10-07,14:30:00Z
99,2023,18,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix,United States Grand Prix,2023-10-22,19:00:00Z,americas,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,30.1328,-97.6411,Austin,USA,2023-10-20,17:30:00Z,2023-10-21,18:00:00Z,,,2023-10-20,21:00:00Z,2023-10-21,22:00:00Z
100,2023,19,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix,Mexico City Grand Prix,2023-10-29,20:00:00Z,rodriguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico City,Mexico,2023-10-27,18:30:00Z,2023-10-27,22:00:00Z,2023-10-28,17:30:00Z,2023-10-28,21:00:00Z,,
101,2023,20,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix,São Paulo Grand Prix,2023-11-05,17:00:00Z,interlagos,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,2023-11-03,14:30:00Z,2023-11-04,14:30:00Z,,,2023-11-03,18:00:00Z,2023-11-04,18:30:00Z
102,2023,21,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix,Las Vegas Grand Prix,2023-11-19,06:00:00Z,vegas,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,Las Vegas Strip Street Circuit,36.1147,-115.173,Las Vegas,United States,2023-11-17,04:30:00Z,2023-11-17,08:00:00Z,2023-11-18,04:30:00Z,2023-11-18,08:00:00Z,,
103,2023,22,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,2023-11-26,13:00:00Z,yas_marina,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,UAE,2023-11-24,09:30:00Z,2023-11-24,13:00:00Z,2023-11-25,10:30:00Z,2023-11-25,14:00:00Z,,
